Classifier,MultiROCKET,ROCKET,Inception,CFLITE,NBN,ResNet,FCN
MultiROCKET,"arithmetic-mean
Win/Tie/Loss higher
Wilcoxon p-value","0.0126
78 / 11 / 39
0.0002","0.0213
87 / 7 / 34
< 0.0001","0.0233
90 / 6 / 32
< 0.0001","0.0303
97 / 4 / 27
< 0.0001","0.0541
95 / 6 / 27
< 0.0001","0.0723
104 / 4 / 20
< 0.0001"
ROCKET,"-0.0126
39 / 11 / 78
0.0002",-,"0.0087
76 / 5 / 47
0.0064","0.0106
77 / 5 / 46
0.0051","0.0177
85 / 4 / 39
< 0.0001","0.0414
86 / 3 / 39
< 0.0001","0.0597
98 / 4 / 26
< 0.0001"
Inception,"-0.0213
34 / 7 / 87
< 0.0001","-0.0087
47 / 5 / 76
0.0064",-,"0.0019
57 / 8 / 63
0.9991","0.0089
73 / 7 / 48
0.0029","0.0327
75 / 5 / 48
0.0005","0.051
91 / 6 / 31
< 0.0001"
CFLITE,"-0.0233
32 / 6 / 90
< 0.0001","-0.0106
46 / 5 / 77
0.0051","-0.0019
63 / 8 / 57
0.9991",-,"0.007
80 / 6 / 42
0.0001","0.0308
78 / 5 / 45
0.0009","0.049
90 / 4 / 34
< 0.0001"
NBN,"-0.0303
27 / 4 / 97
< 0.0001","-0.0177
39 / 4 / 85
< 0.0001","-0.0089
48 / 7 / 73
0.0029","-0.007
42 / 6 / 80
0.0001",-,"0.0238
71 / 5 / 52
0.1652","0.042
84 / 8 / 36
< 0.0001"
ResNet,"-0.0541
27 / 6 / 95
< 0.0001","-0.0414
39 / 3 / 86
< 0.0001","-0.0327
48 / 5 / 75
0.0005","-0.0308
45 / 5 / 78
0.0009","-0.0238
52 / 5 / 71
0.1652",-,"0.0182
82 / 4 / 42
< 0.0001"
FCN,"-0.0723
20 / 4 / 104
< 0.0001","-0.0597
26 / 4 / 98
< 0.0001","-0.051
31 / 6 / 91
< 0.0001","-0.049
34 / 4 / 90
< 0.0001","-0.042
36 / 8 / 84
< 0.0001","-0.0182
42 / 4 / 82
< 0.0001",-
