dataset_name,FCN,ResNet,Inception,CFLITE,NBN,ROCKET,MultiROCKET
ACSF1,0.896,0.916,0.898,0.906,0.898,0.886,0.92
Adiac,0.844501278772378,0.833248081841432,0.821994884910486,0.771867007672634,0.810230179028133,0.78337596,0.833759590792839
AllGestureWiimoteX,0.71,0.740571428571429,0.772857142857143,0.777714285714286,0.742285714285714,0.79,0.727142857142857
AllGestureWiimoteY,0.782,0.793714285714285,0.808857142857143,0.809714285714286,0.771714285714286,0.77271429,0.772857142857143
AllGestureWiimoteZ,0.687142857142857,0.725714285714286,0.776285714285714,0.77,0.731714285714286,0.76614286,0.752857142857143
ArrowHead,0.84,0.837714285714286,0.845714285714286,0.848,0.821714285714286,0.81428571,0.868571428571428
BME,0.844,0.998666666666666,0.994666666666667,0.992,0.98,1,1
Beef,0.66,0.753333333333333,0.706666666666667,0.733333333333333,0.72,0.83333333,0.766666666666667
BeetleFly,0.9,0.85,0.83,0.71,0.87,0.9,0.85
BirdChicken,0.93,0.88,0.95,0.91,0.89,0.9,0.9
CBF,0.993777777777778,0.995777777777778,0.998888888888889,0.997111111111111,0.997555555555556,1,0.996666666666667
Car,0.906666666666667,0.916666666666667,0.903333333333333,0.926666666666666,0.923333333333333,0.84666667,0.916666666666667
Chinatown,0.979591836734694,0.978425655976676,0.979591836734694,0.979008746355685,0.980174927113703,0.98250729,0.979591836734694
ChlorineConcentration,0.804010416666667,0.852760416666667,0.8690625,0.86203125,0.84265625,0.81453125,0.784114583333333
CinCECGTorso,0.822898550724637,0.837826086956521,0.725652173913043,0.858695652173913,0.782463768115942,0.83615942,0.951449275362319
Coffee,1,1,1,1,1,1,1
Computers,0.8176,0.8056,0.7856,0.764,0.7952,0.7612,0.784
CricketX,0.791794871794872,0.798974358974359,0.838461538461539,0.838461538461539,0.808717948717949,0.81948718,0.807692307692308
CricketY,0.782051282051282,0.810256410256411,0.842051282051282,0.85025641025641,0.832820512820513,0.85230769,0.843589743589744
CricketZ,0.80051282051282,0.808717948717949,0.847692307692308,0.853333333333333,0.843589743589744,0.85589744,0.835897435897436
Crop,0.739535714285714,0.742928571428571,0.752404761904762,0.745297619047619,0.715226190476191,0.75134524,0.774761904761905
DiatomSizeReduction,0.358823529411765,0.300653594771242,0.941830065359477,0.94640522875817,0.952941176470588,0.96993464,0.96078431372549
DistalPhalanxOutlineAgeGroup,0.712230215827338,0.717985611510791,0.736690647482014,0.706474820143885,0.723741007194244,0.75899281,0.76978417266187
DistalPhalanxOutlineCorrect,0.760144927536232,0.770289855072464,0.779710144927536,0.767391304347826,0.752173913043478,0.76956522,0.800724637681159
DistalPhalanxTW,0.693525179856115,0.663309352517985,0.660431654676259,0.658992805755396,0.683453237410072,0.71870504,0.690647482014388
DodgerLoopDay,0.3975,0.15,0.545,0.52,0.54,0.5725,0.6
DodgerLoopGame,0.765217391304348,0.710144927536232,0.846376811594203,0.804347826086956,0.802898550724638,0.87318841,0.833333333333333
DodgerLoopWeekend,0.911594202898551,0.952173913043478,0.968115942028986,0.971014492753623,0.968115942028986,0.97463768,0.978260869565217
ECG200,0.88,0.874,0.926,0.886,0.896,0.906,0.92
ECG5000,0.940533333333333,0.935066666666667,0.937911111111111,0.938577777777778,0.940088888888889,0.94715556,0.946444444444444
ECGFiveDays,0.98815331010453,0.966318234610917,0.998606271777004,0.999535423925668,0.997677119628339,1,1
EOGHorizontalSignal,0.573480662983425,0.599447513812154,0.585082872928177,0.594475138121547,0.599447513812155,0.63895028,0.657458563535912
EOGVerticalSignal,0.45414364640884,0.445303867403315,0.465193370165746,0.451933701657459,0.390055248618784,0.54143646,0.535911602209945
Earthquakes,0.717985611510791,0.712230215827338,0.729496402877698,0.707913669064748,0.710791366906475,0.74820144,0.748201438848921
ElectricDevices,0.707456879782129,0.727869277655298,0.706082220204902,0.683517053559849,0.678926209311373,0.72941253,0.735442873816626
EthanolLevel,0.6796,0.7584,0.812,0.628,0.6988,0.5828,0.638
FaceAll,0.93810650887574,0.866745562130177,0.790769230769231,0.839526627218935,0.791360946745562,0.94650888,0.799408284023669
FaceFour,0.927272727272727,0.954545454545455,0.961363636363636,0.954545454545455,0.952272727272727,0.97727273,0.931818181818182
FacesUCR,0.944292682926829,0.954243902439024,0.966146341463414,0.967609756097561,0.954536585365854,0.96141463,0.961463414634146
FiftyWords,0.651428571428571,0.74021978021978,0.82021978021978,0.805274725274725,0.767472527472527,0.83032967,0.859340659340659
Fish,0.961142857142857,0.980571428571428,0.977142857142857,0.984,0.980571428571428,0.97942857,0.988571428571428
FordA,0.916515151515151,0.936969696969697,0.955757575757576,0.956818181818182,0.953636363636364,0.94439394,0.957575757575757
FordB,0.779506172839506,0.813086419753086,0.848888888888889,0.845679012345679,0.844197530864198,0.80506173,0.838271604938272
FreezerRegularTrain,0.996561403508772,0.998456140350877,0.996210526315789,0.996842105263158,0.998035087719298,0.99761404,0.999649122807018
FreezerSmallTrain,0.697263157894737,0.832210526315789,0.855649122807017,0.91740350877193,0.953122807017544,0.94957895,0.995438596491228
Fungi,0.013978494623656,0.17741935483871,1,1,0.997849462365591,1,1
GestureMidAirD1,0.7,0.698461538461539,0.713846153846154,0.727692307692308,0.74,0.71692308,0.753846153846154
GestureMidAirD2,0.627692307692308,0.667692307692308,0.7,0.692307692307692,0.673846153846154,0.66076923,0.707692307692308
GestureMidAirD3,0.326153846153846,0.34,0.369230769230769,0.389230769230769,0.384615384615385,0.41461538,0.515384615384615
GesturePebbleZ1,0.87906976744186,0.901162790697674,0.923255813953488,0.919767441860465,0.911627906976744,0.90581395,0.918604651162791
GesturePebbleZ2,0.784810126582279,0.777215189873418,0.881012658227848,0.879746835443038,0.879746835443038,0.83037975,0.860759493670886
GunPoint,0.997333333333333,0.990666666666666,0.998666666666666,1,0.997333333333333,1,1
GunPointAgeSpan,0.991772151898734,0.996835443037975,0.988607594936709,0.987974683544304,0.991772151898734,0.99683544,1
GunPointMaleVersusFemale,0.99620253164557,0.992405063291139,0.994303797468354,0.991772151898734,0.990506329113924,0.99841772,1
GunPointOldVersusYoung,0.987936507936508,0.989206349206349,0.968888888888889,0.973333333333333,0.971428571428571,0.99111111,1
Ham,0.714285714285714,0.758095238095238,0.714285714285714,0.737142857142857,0.721904761904762,0.72571429,0.723809523809524
HandOutlines,0.811351351351351,0.913513513513513,0.945405405405406,0.936756756756757,0.937297297297297,0.94243243,0.951351351351351
Haptics,0.474025974025974,0.50974025974026,0.545454545454545,0.540909090909091,0.52987012987013,0.52402597,0.542207792207792
Herring,0.65,0.6,0.684375,0.6875,0.690625,0.6921875,0.6875
HouseTwenty,0.981512605042017,0.983193277310924,0.979831932773109,0.973109243697479,0.981512605042017,0.96386555,0.991596638655462
InlineSkate,0.323272727272727,0.377090909090909,0.480727272727273,0.534545454545454,0.543272727272727,0.45690909,0.470909090909091
InsectEPGRegularTrain,0.998393574297189,0.997590361445783,0.996787148594377,0.995180722891566,0.995180722891566,1,1
