dataset_name,FCN,ResNet,Inception,CFLITE,NBN,ROCKET,MultiROCKET
InsectEPGSmallTrain,0.29718875502008,0.371887550200803,0.94136546184739,0.962248995983935,0.955020080321285,0.97911647,1
InsectWingbeatSound,0.392525252525252,0.499292929292929,0.629090909090909,0.624848484848485,0.61040404040404,0.65681818,0.672727272727273
ItalyPowerDemand,0.96268221574344,0.961516034985423,0.965986394557823,0.968124392614188,0.968513119533528,0.96958212,0.967930029154519
LargeKitchenAppliances,0.899733333333333,0.901333333333333,0.9008,0.8816,0.8816,0.90053333,0.882666666666667
Lightning2,0.734426229508197,0.780327868852459,0.790163934426229,0.826229508196721,0.754098360655738,0.75901639,0.672131147540984
Lightning7,0.827397260273973,0.827397260273973,0.813698630136986,0.83013698630137,0.827397260273973,0.82328767,0.849315068493151
Mallat,0.970319829424307,0.9736460554371,0.955991471215352,0.948742004264392,0.947633262260128,0.95594883,0.927078891257996
Meat,0.783333333333333,0.99,0.93,0.94,0.913333333333333,0.94833333,0.916666666666667
MedicalImages,0.782631578947368,0.769736842105263,0.791578947368421,0.770263157894737,0.752631578947368,0.79947368,0.807894736842105
MelbournePedestrian,0.914309143091431,0.909225092250923,0.905371053710537,0.906273062730627,0.898564985649856,0.90438704,0.962689626896269
MiddlePhalanxOutlineAgeGroup,0.535064935064935,0.545454545454545,0.522077922077922,0.522077922077922,0.524675324675325,0.59025974,0.636363636363636
MiddlePhalanxOutlineCorrect,0.791752577319588,0.826116838487973,0.821305841924399,0.828865979381443,0.82680412371134,0.83848797,0.859106529209622
MiddlePhalanxTW,0.5,0.494805194805195,0.503896103896104,0.512987012987013,0.507792207792208,0.56038961,0.538961038961039
MixedShapesRegularTrain,0.957938144329897,0.972865979381443,0.964371134020618,0.973278350515464,0.976824742268041,0.97105155,0.979381443298969
MixedShapesSmallTrain,0.894268041237113,0.916536082474227,0.910103092783505,0.932041237113402,0.938639175257732,0.9382268,0.961649484536082
MoteStrain,0.934345047923323,0.923961661341853,0.894888178913738,0.860862619808307,0.875718849840256,0.91461661,0.941693290734824
NonInvasiveFetalECGThorax1,0.953791348600509,0.941374045801527,0.956335877862595,0.958778625954199,0.952162849872773,0.9529771,0.958778625954198
NonInvasiveFetalECGThorax2,0.952773536895674,0.943613231552163,0.957455470737914,0.959389312977099,0.953791348600509,0.96905852,0.968447837150127
OSULeaf,0.967768595041322,0.980165289256198,0.929752066115702,0.942148760330578,0.956198347107438,0.94090909,0.954545454545455
OliveOil,0.506666666666667,0.846666666666667,0.846666666666667,0.846666666666667,0.693333333333333,0.91666667,0.966666666666667
PLAID,0.903538175046555,0.940409683426443,0.937057728119181,0.915828677839851,0.906517690875233,0.90260708,0.934823091247672
PhalangesOutlinesCorrect,0.821678321678322,0.845221445221445,0.834731934731935,0.831468531468531,0.821678321678322,0.83426573,0.834498834498834
Phoneme,0.32542194092827,0.333438818565401,0.329008438818565,0.330907172995781,0.309388185654008,0.27985232,0.347573839662447
PickupGestureWiimoteZ,0.744,0.704,0.748,0.768,0.756,0.83,0.84
PigAirwayPressure,0.192307692307692,0.405769230769231,0.513461538461538,0.513461538461539,0.347115384615385,0.09519231,0.596153846153846
PigArtPressure,0.9875,0.991346153846154,0.992307692307692,0.992307692307692,0.993269230769231,0.95384615,0.951923076923077
PigCVP,0.803846153846154,0.918269230769231,0.948076923076923,0.957692307692308,0.935576923076923,0.93413462,0.870192307692308
Plane,1,1,1,1,1,1,1
PowerCons,0.872222222222222,0.878888888888889,0.95,0.953333333333333,0.944444444444444,0.94,0.994444444444444
ProximalPhalanxOutlineAgeGroup,0.830243902439024,0.846829268292683,0.833170731707317,0.852682926829268,0.837073170731707,0.85560976,0.853658536585366
ProximalPhalanxOutlineCorrect,0.898969072164948,0.919587628865979,0.91340206185567,0.914776632302405,0.905154639175258,0.89896907,0.917525773195876
ProximalPhalanxTW,0.769756097560976,0.772682926829268,0.769756097560976,0.773658536585366,0.781463414634146,0.81658537,0.819512195121951
RefrigerationDevices,0.5104,0.530133333333333,0.513066666666667,0.498666666666667,0.496533333333333,0.53733333,0.528
Rock,0.632,0.552,0.78,0.864,0.828,0.9,0.86
ScreenType,0.620266666666667,0.615466666666667,0.584533333333333,0.5856,0.565866666666667,0.48533333,0.56
SemgHandGenderCh2,0.831333333333333,0.823666666666667,0.815333333333333,0.836,0.843666666666667,0.92683333,0.951666666666667
SemgHandMovementCh2,0.478222222222222,0.439111111111111,0.406666666666667,0.458222222222222,0.478666666666667,0.64511111,0.768888888888889
SemgHandSubjectCh2,0.741777777777778,0.738666666666667,0.784888888888889,0.78,0.767555555555555,0.88111111,0.917777777777778
ShakeGestureWiimoteZ,0.884,0.88,0.888,0.9,0.928,0.898,0.94
ShapeletSim,0.747777777777778,0.782222222222222,0.952222222222222,0.756666666666667,0.737777777777778,1,1
ShapesAll,0.892333333333333,0.926333333333333,0.92,0.913,0.899666666666667,0.90683333,0.921666666666667
SmallKitchenAppliances,0.776,0.781333333333334,0.757866666666667,0.733333333333333,0.757866666666667,0.8184,0.821333333333333
SmoothSubspace,0.969333333333333,0.98,0.98,0.985333333333333,0.984,0.97866667,0.98
SonyAIBORobotSurface1,0.965058236272879,0.960732113144759,0.866555740432612,0.855241264559068,0.841597337770383,0.92246256,0.886855241264559
SonyAIBORobotSurface2,0.977334732423924,0.975445960125918,0.954039874081847,0.937670514165792,0.939559286463798,0.91259182,0.940188877229801
StarLightCurves,0.966270033997086,0.972292374939291,0.977634774162215,0.974793589120932,0.97442933462846,0.98096163,0.981665857212239
Strawberry,0.96972972972973,0.98,0.982702702702703,0.979459459459459,0.978378378378378,0.98135135,0.981081081081081
SwedishLeaf,0.96704,0.96256,0.96608,0.95776,0.95584,0.964,0.9792
Symbols,0.964422110552764,0.893065326633166,0.981105527638191,0.978894472361809,0.98070351758794,0.97427136,0.982914572864322
SyntheticControl,0.987333333333333,0.996666666666667,0.995333333333333,0.998,0.998666666666666,0.99966667,0.993333333333333
ToeSegmentation1,0.959649122807017,0.957017543859649,0.964912280701754,0.959649122807017,0.969298245614035,0.96842105,0.956140350877193
ToeSegmentation2,0.887692307692308,0.893846153846154,0.947692307692308,0.94,0.927692307692308,0.92384615,0.907692307692308
Trace,1,1,1,1,1,1,1
TwoLeadECG,0.99964881474978,1,0.995961369622476,0.997541703248464,0.997892888498683,0.99912204,0.998244073748903
TwoPatterns,0.86945,0.99995,1,0.9997,1,1,1
UMD,0.986111111111111,0.990277777777778,0.983333333333333,0.973611111111111,0.954166666666667,0.99236111,0.993055555555556
UWaveGestureLibraryAll,0.814461194863205,0.860804020100503,0.946231155778894,0.904466778336125,0.890954773869347,0.97537688,0.979899497487437
UWaveGestureLibraryX,0.750753768844221,0.781239530988275,0.812227805695142,0.816359575656058,0.809268565047459,0.85474595,0.869625907314349
UWaveGestureLibraryY,0.643439419318816,0.665829145728643,0.754383026242323,0.738414293690676,0.723841429369068,0.77398102,0.797319932998325
UWaveGestureLibraryZ,0.726465661641541,0.748632049134562,0.75499720826354,0.759463986599665,0.756169737576773,0.79190396,0.815466219988833
Wafer,0.997242050616483,0.99805321219987,0.998734587929916,0.999188838416612,0.999026606099935,0.99823167,0.999513303049968
Wine,0.625925925925926,0.722222222222222,0.666666666666667,0.677777777777778,0.640740740740741,0.81296296,0.888888888888889
WordSynonyms,0.564263322884013,0.616614420062696,0.729153605015674,0.727899686520376,0.678683385579937,0.75344828,0.775862068965517
Worms,0.776623376623377,0.761038961038961,0.768831168831169,0.805194805194805,0.81038961038961,0.74025974,0.753246753246753
WormsTwoClass,0.732467532467533,0.748051948051948,0.758441558441558,0.774025974025974,0.784415584415584,0.7974026,0.792207792207792
Yoga,0.8424,0.866733333333333,0.8998,0.9144,0.906733333333333,0.91036667,0.919
